YEAR,WEEK_NUMBER,0-4 YR,5-17 YR,18-49 YR,50-64 YR,65+ YR
2020,2020-10,0,0,10,7,17
2020,2020-11,0,0,52,80,85
2020,2020-12,0,4,254,286,417
2020,2020-13,6,5,639,794,1060
2020,2020-14,11,11,656,1021,1397
2020,2020-15,9,7,633,914,1447
2020,2020-16,11,8,733,955,1551
2020,2020-17,10,14,771,823,1508
2020,2020-18,11,20,770,852,1390
2020,2020-19,9,21,740,772,1132
2020,2020-20,13,15,707,711,1044
2020,2020-21,17,21,729,667,955
2020,2020-22,14,25,632,523,788
2020,2020-23,16,18,524,429,590
2020,2020-24,14,14,465,345,466
2020,2020-25,15,10,473,364,431
2020,2020-26,13,22,578,420,446
2020,2020-27,10,20,733,524,655
2020,2020-28,20,29,891,707,860
2020,2020-29,15,30,918,751,915
2020,2020-30,23,22,793,726,913
2020,2020-31,16,20,743,643,838
2020,2020-32,12,21,707,565,771
2020,2020-33,12,24,610,529,675
2020,2020-34,12,24,516,484,655
2020,2020-35,11,29,492,355,539
2020,2020-36,19,20,404,347,508
2020,2020-37,7,17,389,343,476
2020,2020-38,9,22,369,312,498
2020,2020-39,15,12,395,367,549
2020,2020-40,9,19,417,379,582
2020,2020-41,8,21,469,480,761
2020,2020-42,11,25,586,514,867
2020,2020-43,10,25,575,683,1036
2020,2020-44,13,28,712,800,1333
2020,2020-45,23,51,945,1011,1767
2020,2020-46,20,59,1164,1356,2505
2020,2020-47,26,35,1219,1497,2935
2020,2020-48,26,46,1256,1493,3016
2020,2020-49,42,53,1310,1518,3114
2020,2020-50,42,45,1350,1550,3126
2020,2020-51,31,43,1220,1502,2999
2020,2020-52,34,57,1160,1480,3054
2020,2020-53,31,52,1205,1430,3006
2020,2021-1,34,69,1278,1555,3061
2020,2021-2,35,59,1069,1281,2431
2020,2021-3,30,54,881,1063,1975
2020,2021-4,20,51,541,646,1234
2020,2021-5,0,0,0,0,0